kelime,tanımı nedir,ne işe yarar,nasıl yapılır,nerede bulunur,niçin yapılır,yanında neler bulunur,ne olunca yapılır,içinde neler bulunur,yapınca ne olur,hammaddesi nedir,neyi kimi yapılır,üst kavramı nedir,kim ne ile yapılır,kim kullanır,neye kime yapılır,sıfatları,nerede yapılır,rengi,kim ne yapar,şekli nasıl,fiziksel zihinsel,canlı cansız
dinlemek,"['karşıdaki kişinin dediklerine kulak vermek', 'duyu organını kullanarak ses dalgalarını anlamlandırmak', 'herhangi bir sesi işitmek', 'bir sese kulak vermek', 'bir şeyi duymak', 'bir şeylere kulak vermek', 'kulak ile bir sesi algılamak', 'karşıdakini anlamaya çalışmak', 'birinin konuşmasını duymak', 'kulak kesilmek', 'birinin söylediklerine kulak kesilmek', 'söyleneni anlamak', 'işitmek için kulak vermek', 'sesleri duymak', 'bir şeye dikkatini vermek', 'duyma', 'konuşulanlardan haberdar olmak', 'bir kişiyi anlamaya çalışmak', 'kulak ile yapılan bir konuyu duyma ve odaklanma eylemi', 'işitmek', 'konuşan kişiyi duymak', 'kulak verme', 'bir sesi kulakla duymak', 'duymak']",,"['yatarak', 'kulak açarak', 'duyarak', 'susarak', 'dikkat kesilerek', 'sesleri anlayarak', 'takarak', 'dikkat', 'dikkat ile', 'sessiz olarak', 'kulakla', 'dinlenen sese yakın durmak', 'dikkat ederek', 'durmak', 'kısık ses', 'susmak', 'sese odaklanarak', 'söylenenlere dikkat kesilerek', 'odaklanarak', 'dikkatli bir şekilde', 'eğlenerek', 'dikkatli', 'kulak vermek', 'duymak']",,"['bilmek', 'öğrenmek için', 'karşıdaki kişinin dediğini anlamak için', 'düşünmek', 'iletişim kurmak', 'zaman geçirmek', 'işitmek', 'müzik dinlemek', 'öğrenmek', 'eğlenmek', 'yorulmak', 'keyif', 'duymak için', 'anlamak', 'söylenenleri anlamak için', 'anlayabilmek için', 'duymak']",,"['bir ses duyulduğunda', 'derse gelmek', 'iletişim kurmak', 'ses', 'stresli olunca', 'ses duymak', 'ders', 'müzik', 'ses çıkaran bir şey olduğunda', 'birisi konuşunca', 'ses olması', 'ders vermek', 'yorgun', 'konser', 'konuşmak', 'ses olunca', 'sıkılmak', 'bilgi almak istemek', 'anlamayınca', 'öğrenmek istemek', 'muhabbet', 'bilgi almak istediğimizde', 'birisi konuştuğunda', 'fikir edinmek istediğimizde', 'duymak']",,"['bilmek', 'dinlemiş olunur', 'anlaşılmak', 'aydınlanmak', 'dinlenmek', 'karşıdaki kişinin dediği anlaşılır', 'söylenenler anlaşılmış olur', 'para almak', 'anlaşmak', 'öğrenmek', 'eğlenme', 'rahat', 'ses bilgi olarak depolanır', 'anlamış olursun', 'sesi anlamak', 'anlamak', 'duygusal hisler', 'duymak']",,"['şarkıcı', 'şarkı', 'ses', 'konuşma', 'anlatan', 'ders', 'müzik', 'ses kaynağı', 'konuşmacı', 'insanlar', 'insan', 'öğretmenini', 'olayı', 'konuşan insanı', 'hoca', 'sevdiğini', 'söz', 'radyo', 'konferansı', 'sesli şeyler', 'bir şeyi yapılmaz', 'konu', 'insanı', 'hayvan']",,"['kulak', 'kulaklık', 'konuşan', 'öğrenci', 'hoparlör', 'kulak ile', 'başka bir insanla', 'kulakla', 'kulak ile yapılır', 'insan', 'işitme organı ile yapılır', 'ders']",,"['şarkı', 'kendi kendine', 'ses', 'konuşana', 'konuşan kişi', 'herhangi', 'konuşma', 'ses çıkaran herhangi bir şeye', 'müzik', 'hayvana', 'karşıdaki kişiye', 'anlatana', 'insana', 'insan', 'kendine', 'telefon', 'insanlara', 'sese', 'doğaya', 'hayvan', 'her şey']",,"['', 'hava olan yerde', 'üniversite', 'sınıf', 'iç mekan', 'konferansta', 'otobüs', 'herhangi', 'iş', 'konferans', 'konferans salonu', 'konuşma', 'herhangi bir yer', 'cami', 'masa', 'inline derste', 'ders', 'koşu', 'evde', 'ev', 'sınıfta', 'herhangi bir yerde', 'metrobüs', 'okulda', 'her yerde', 'metro', 'dış mekan', 'konser', 'okul', 'sokak', 'heryerde']",,"['öğrenci', 'telefon', 'dinleyici', 'hoca', 'tanrı', 'canlı', 'yolcu', 'hayvanlar', 'insanlar', 'ses dinler', 'çağrı merkezi çalışanı', 'çocuk', 'insan', 'hayvan', 'yorgun insan', 'alaaddin', 'seyirci']",,,
dinlenmek,"['yorulduğunda enerji toplamak', 'bir yere oturup rahatlamak', 'güç kazanmak için çalışmaya ara vermek', 'bedenin ve zihnin yorgunluğunu atmak', 'yorgunluğu gidermek için ara vermek', 'enerji depolamak', 'yorgunluğunu atmak', 'serbest bırakmak', 'rahatlamak', 'bedeni ve zihni yormamak', 'yorulduktan sonra enerji toplamak için yapılan aktivite', 'yorgunluğu gidermek', 'bir işi yapamaz devam edemeyip soluklanma', 'çalışmaya ara vermek', 'yorgunluğu atmak', 'mola vermek', 'ara vermek', 'bir süre beklemek', 'fiziksel yorgunluğu gidermek', 'bir şey yapmadan bekleyerek enerji toplamak', 'hareketsiz kalmak', 'istirahat etmek']",,"['yatarak', 'sakin', 'uzanarak', 'rahatlatacak şeyler yaparak', 'beklemek', 'rahat bir pozisyonda bekleyerek', 'derin nefes alarak', 'uzunca', 'uyuyarak', 'rahatlatıcı', 'oturarak', 'uyumak', 'uzanmak', 'tatil', 'okumak', 'yatmak', 'ara vermek', 'oturmak', 'rahatça']",,"['rahatlamak için', 'dinlenmek', 'rahatlama', 'yorumlamak', 'enerji toplamak için', 'rahatlamak', 'yorgunluğu atmak için', 'soluklanma', 'enerji depolamak için', 'yorgunluk atmak için', 'yorgunluk atmak', 'yorgunluğu gidermek', 'rahat etmek', 'enerji artırmak', 'yorgunluğu atmak', 'ihtiyaç', 'yorulduğu için', 'yorulmak', 'enerji toplamak']",,"['yorulunca', 'duyunca', 'yorulduğunda', 'sıkılınca', 'hastalanınca', 'yorgunken', 'yorulmak', 'çok çalışmak']",,"['yorgunluk gider', 'sağlık', 'dinlenmek', 'kendine gelmek', 'vücut rahatlar', 'enerjik', 'mutlu', 'rahatlamak', 'güçlenmek', 'uyumak', 'enerji kazanmak', 'rahat etmek', 'mutlu olmak', 'yorgunluğu atmak', 'tekrar hareket etmek için enerjin olur', 'zinde hissetmek', 'rahatlamış olur', 'huzur bulmak', 'enerji toplamak', 'rahatlatır', 'rahatları', 'dinlenmiş olunurfiziksel', 'enerji kazanılır', 'dinlemek', 'dinlenir', 'güç kazanmak']",,"['', 'müzik', 'vücudu', 'vücut', 'kendini', 'baza', 'söz', 'çekyat', 'insanlar', 'kendi vücudunu', 'uyumak', 'keyfi çıkarılır', 'insanı']",,"['vücut', 'yuva', 'kendi kendine', 'minder', 'uyku', 'bir şey gerekmez', 'zihin', 'yer', 'yatak', 'tek', 'yastık', 'kitap', 'akıl', 'arkadaş', 'tabure', 'koltuk', 'mobilya', 'sandalye', 'durarak', 'kanepe', 'beden', 'yorgun insan']",,"['', 'kendine', 'kendi kendine', 'kendi başına', 'zihne', 'anlatana', 'vücuda', 'kendisine', 'kendi']",,"['rahatlatacak herhangi bir yerde', 'herhangi', 'ofiste', 'şirkette', 'kafede', 'evde', 'yazlık', 'yatak', 'ev', 'yer', 'koltukta', 'sandalyede', 'tatilde', 'ağaç gölgesinde', 'yatakta', 'koltuk', 'oda', 'yerde', 'bahçe', 'heryerde']",,"['sporcu', 'işçi', 'çalışan', 'öğrenci', 'memur', 'herkes', 'canlı', 'insanlar', 'yorgun insan', 'tüm canlılar', 'insan', 'hayvan', 'yorulan', 'hayvanlar', 'insanlar oturur']",,,
diğği,"['dil uzman', 'dil sorunları ile ilgilenen kimse', 'dil sağlığından sorumlu meslek']","['sağlığı korumak', 'dil hastalğklarğnğ düzeltmek', 'dil çekmek', 'dil bakmak']",,"['klinik', 'hastane']",,"['dolgu cihaz', 'kerpeten', 'teknisyen', 'hasta', 'anlık', 'dil aynası']",,"['röntgen cihaz', 'lazer', 'insan']",,"['hücre', 'insan']",,['meslek'],,"['içinde uzman hekimler', 'hasta', 'insan']",,,,,,,,['canlı']
dişçi,"['diş sağlığından sorumlu hekim', 'dişle alaklı sorunları çözen insan', 'diş kontrolü ve tedavisini sağlayan hekim', 'diş hekimi', 'diş sorunları ile ilgilenen kimse', 'diş sağlığından sorumlu meslek', 'diş hastalıklarını tedavi neden doktor', 'diş doktoru', 'ağız ve diş sağlığına uğraşan hekim', 'diş uzmanı', 'dişleri tedavi neden kişi', 'diş ve ağız konusunda uzman kişi', 'dişlerin doktoru', 'diş tedavisini yapan kişi', 'diş sağlığı ile ilgilenen mesleğe verilen ad', 'ınsanların dişlerini tedavi neden insan', 'ağız hekimi']","['ağızsal hastalıkları iyileştirmeye', 'tedavi', 'ağız sağlığı', 'diş tedavisi', 'dişi iyleştirmek', 'diş bakmak', 'insanların diş sağlığına bakar', 'diş ve ağız sorunlarının giderilmesine yardımcı olur', 'diş tedavisi yapmak', 'eşya koymak', 'diş sağlıgına bakar', 'muayene etmek', 'diş sağlığına yardımcı olur', 'çürük dişleri çeker', 'diş tedavi etmek', 'dişleri tedavi etmeye', 'diş iyileştirme', 'diş hastalıklarını önlemek', 'sağlığı korumak', 'diş sağlığı', 'dolgu yapmak', 'tedavi etme', 'diş hastalıklarını düzeltmek', 'ınsanların dişlerini tedavi eder', 'diş bakımı', 'diş çekmek', 'tedavi etmek', 'çürükleri düzeltir']",,"['dispanseri', 'klinik', 'tıp fakültesi', 'ofis', 'diş hastanesi', 'hastanede', 'diş muayenehanesi', 'hastahane', 'hastane']",,"['kerpeten', 'ışık', 'diş bakım aletleri', 'ağız statülü', 'diş malzemeleri', 'teknisyen', 'hasta', 'dişçilik aletleri', 'sekreter', 'çanta', 'pense', 'ayna', 'eşya', 'eczacı', 'dolgu cihazı', 'ağız', 'önlük', 'asistan', 'dolgu', 'diş', 'sökücü', 'aletler', 'hemşire', 'şırınga', 'dişi koltuğu', 'klinik', 'ilaç', 'cerrahi makas', 'dişçi koltuğu', 'diş aynası', 'diş dolgusu', 'diş teli']",,"['', 'röntgen cihazı', 'doktor', 'dişçi sandalyesi', 'hasta', 'masa', 'eğitim', 'insan', 'lazer', 'dolgu', 'bilgi', 'sandalye', 'ınsan', 'organ', 'maske', 'dişçi', 'organlar', 'dişçi koltuğu', 'tecrübe']",,"['', 'eğitim', 'hidrojen', 'su', 'oksijen', 'hücre', 'çimento', 'üniversite', 'ınsan', 'hücreler', 'kum', 'karbon', 'insan']",,"['sağlık çalışanı', 'meslek', 'sağlık', 'hekim', 'doktor', 'kişi', 'sağlıkçı', 'insan']",,"['diş ağrısı olan insan', ' şinde uzman hekimler', 'hastalar', 'herkes', 'insanlar', 'hasta', 'dişinde rahatsızlık olanlar', 'insan']",,,,"['', 'turuncu', 'beyaz', 'esmer', 'sarı', 'tek rengi', 'her renk', 'buğday', 'kahverengi']",,"['', 'insansı', 'şekilsiz', 'düzensiz', 'çeşitli', 'dikdörtgen', 'kare', 'insan']",,"['cansız', 'canlı']"
dokunmak,"['bir nesneye temas etmek', 'hissetmek', 'el ile temas etmek', 'birşeye temiz etmek', 'bir şeye temas etmek', 'temas etmek', 'bir şeyin yüzeyini eklemek', 'vücut temas etmek', 'bir şeyi hissetmek', 'el ile hissetmek', 'el kullanarak hissetmek', 'bir şeyi fiziksel olarak hissetmek', 'bir şey ile temas kurmak', 'el teması kurmak', 'elle temas etmek', 'bir maddeye temas etmek', 'değmek', 'temasta bulunmak', 'nesnelere değmek']",,"['hissetmek', 'tenini değdirerek', 'dokunmak', 'eklemek', 'temas ile', 'temas', 'dürtme', 'el ile temas ederek', 'hissederek', 'temas etmek', 'temas ederek', 'elini hareket ettirerek', 'elle', 'temas edilir', 'yavaşça', 'nazik', 'hareket', 'hareket ederek', 'eli değdirmek', 'el uzatmak', 'yaklaşmak', 'değmek', 'okşayarak', 'temas kurarak']",,"['sormak', 'tedavi', 'yer istemek', 'hissetmek', 'ısıyı tespit etmek', 'temas etmek gerektiği için', 'merak', 'tutmak', 'boşaltmak', 'temas', 'sıcaklık', 'yer değiştirmek', 'hissetmek için', 'sertlik', 'dikkatini çekmek', 'sevmek', 'fiziksel bilgi almak', 'sevmek için', 'aktarmak', 'öğrenmek', 'varlığından emin olmak için', 'kontrol etmek', 'sevgi', 'anlamak', 'yüzeyi tespit etmek']",,"['isteyerek istemeyerek', 'fiziksel bilgi ihtiyacı', 'fırtına', 'bilinmezlik', 'dokunmak', 'soru', 'merak etmek', 'hissetmesine', 'merak', 'bakmasını istediğinde', 'uygulanmak', 'sevmek', 'özlemek', 'sevgi göstermek istediğinde', 'cisimleri görmeden tahminleme yapılmak istendiğinde', 'hüzünlü', 'istemek', 'ihtiyaç', 'temas etmek istenildiğinde', 'tutmak istemek', 'merak edince', 'teselli için', 'temas isteyince', 'fiziksel bilgi ihtiyacı duymak', 'hastalık', 'sevgi']",,"['sormak', 'hissetmek', 'sevdiğini gösterirsin', 'mutlu olunur', 'mutlu', 'temas', 'temas etmek', 'üşümek', 'temas etmiş olur', 'temas edince', 'duyumsama', 'dikkatini çekersin', 'nesneyi anlamak', 'teselli edilir', 'hissedilir', 'canlı nesneyi hisseder', 'nesneyi anlama', 'fiziksel bilgi alınır', 'öğrenmek', 'tanı', 'anlamak', 'hissetmiş olursun']",,"['el', 'nazarı', 'eli', 'nesneyi', 'dokunma hissi oluşur', 'insanlar', 'nesne', 'ayağı', 'sevgili']",,"['el', 'eli', 'cisim', 'ayak', 'eşya', 'manipülatör', 'parmak', 'vücud', 'canlı', 'tek', 'vücut ile yapılır', 'derinin altındaki sinir uçları', 'nesne', 'sevgi', 'el ile']",,"['doktor', 'eşyalara', 'nesne', 'hasta', 'başkasına', 'baba', 'masa', 'eşya', 'her şeye', 'objeye', 'canlı', 'obje', 'anne', 'insana', 'insan', 'tüm canlılara', 'sevgili', 'evlat', 'maddeye', 'herşey', 'herhangi bir şeye', 'yolcu', 'kağıt', 'mide', 'nesneye', 'fiziksel objeler', 'hayvan', 'canlıya']",,"['iç mekan', 'otobüs', 'herhangi', 'herhangi bir yer', 'ev', 'herhangi bir yerde', 'kapalı alanlarda', 'okulda', 'her yerde', 'her yer', 'dışarda', 'yemekhanede', 'restoran', 'sinema', 'dış mekan', 'sokak', 'oda', 'dünya', 'toplu taşıma', 'hastane', 'heryerde']",,"['ınsan', 'insan el uzatır', 'doktor', 'yemek', 'herkes', 'insanlar', 'canlı', 'canlılar', 'rüzgar', 'nesne', 'tüm canlılar', 'erkek', 'insan', 'hayvan', 'hayvanlar', 'yaşlı']",,,
dolap,"['kıyafetlerin koyulduğu bir eşya', 'giysileri saklamak iğin kullanılan mobilya', 'eşyaların içerisinde tutulduğu eşya']","['eşya saklamak', 'kıyafetleri belli bir alanda toplamak']",,"['fabrika', 'atolye', 'oda', 'iş yeri', 'yaşam alanı', 'ev', 'ofis', 'işyeri', 'yemek odası', 'yatak odası', 'mutfak', 'okul']",,"['sandalye', 'pencere', 'yatak', 'askı', 'masa']",,"['tabak', 'kıyafet', 'raf', 'pantolon', 'şapka', 'çanta', 'eşya', 'erzak', 'çekmece', 'eşyalar', 'malzeme', 'kıyafetler', 'yemek seti', 'dosya', 'etek', 'ceket', 'çorap', 'aksesuarlar', 'elbise', 'alet', 'gömlek', 'giysi', 'aksesuar']",,"['meta', 'mdf', 'demir', 'tahta', 'ahşap', 'odun', 'ağaç', 'çivi', 'kartonpiyer', 'kereste']",,"['gereç', 'gardırop', 'eşya', 'cisim', 'yapı', 'alet', 'mobilya']",,"['insanlar', 'insan']",,,,"['değişken', 'siyah', 'beyaz', 'her', 'mavi', 'her renk', 'herhangi', 'kahverengi', 'tüm renkler']",,"['dikdörtgen', 'dikdörtgen prizma']",,['cansız']
dolaşmak,"['bir şeyin etrafından gitmek', 'etrafı gezmek', 'tur atmak', 'etrafta gezinmek', 'karışık yolları gezmek', 'etrafında gezmek', 'gezinmek', 'bir yer etrafında gezmek', 'bir yerde yürümek', 'amaçsız gezmek', 'belirsizce yürümek', 'yürüyüşe çıkmak', 'etrafını sürmek', 'turlamak', 'gezintiye çıkmak', 'gezmek', 'karışmak', 'hava almak', 'dışarı çıkıp gezinmek', 'bir yerde gezmek', 'bir şeyin etrafından dolaşmak', 'konum değiştirmek', 'birbirine girmek']",,"['gezerek', 'ay içerek', 'yürümek', 'ayakla', 'yürüyerek', 'araba ile', 'karıştırmak', 'sürünerek', 'sürmek', 'kahve içerek', 'gezmek', 'hareket ederek', 'koşarak', 'hızlıca', 'hızlı', 'beraber', 'yavaş', 'fazlaca yürüyerek', 'dilenmek']",,"['rahatlamak için', 'çevre hakkında bilgi edinmek', 'hissetmek', 'keşfetmek', 'yürümek', 'hava almak için', 'hobi', 'rahatlamak', 'hareket etmek istenildiği için', 'stres atmak', 'sıkıntıyı gidermek', 'rahat etmek', 'fiziksel bilgi almak', 'gezmek', 'para', 'öğrenmek için', 'görmek', 'hava almak', 'sıkılmak', 'vakit harcamak', 'fotoğraf çekmek', 'öğrenmek', 'eğlenmek', 'önünde bir engel olduğu için']",,"['can sıkıntısı gidermek', 'fakir', 'merak', 'alışveriş yapmak istendiğinde', 'alışveriş yapmak istemek', 'boş', 'can sıkıntısı', 'hava almak istendiğinde', 'bunalmak', 'tatil', 'hareket etmek istenildiğinde', 'sıkılınca', 'spor', 'stres', 'fırsat olunca', 'sıkılmak', 'seyahate gitmek', 'görmek isteyince', 'işi olmak']",,"['rahatlama', 'keyif almak', 'engel aşılır', 'rahat', 'mutlu', 'sağlamlaşması', 'rahatlamak', 'hareket edilmiş olur', 'çevre hakkında bilgi alınır', 'zengin', 'yorgunluk', 'rahat etmek', 'işi halletmek', 'gezmek', 'karışmak', 'yorulmak', 'görmek', 'çevre hakkında bilgilenmek', 'hava almak', 'gezmiş', 'öğrenmek', 'eğlenmek', 'kan dolaşımı hızlanır']",,"['ile', 'şehir', 'çevre', 'yer', 'evi', 'bağcık', 'insanlar', 'alan', 'müze', 'şehri', 'hareketi yapılır', 'yerler', 'çevreyi', 'etrafı', 'okul', 'çarşı', 'sahil', 'yol', 'bahçe', 'okulu']",,"['vücut', 'biriyle', 'bacaklar', 'canlılar', 'nesne', 'çanta', 'ayak', 'canlı', 'köpek', 'insan', 'ayaklar', 'sevgili', 'tek başına aile ile arkadaşla', 'yalnız', 'kanat', 'arkadaş', 'bacak ile', 'herhangi bir şeyle', 'vasıta', 'araç', 'ulaşım aracı', 'düğüm', 'ağlamak', 'araba', 'hayvan']",,"['kendine', 'ipe', 'doğa', 'direk', 'kendi kendine', 'hızlı', 'fark', 'hayvan terbiyecisi', 'ağaç', 'kabloya', 'çevre', 'mekana', 'yavaş', 'etrafta dolaşılır', 'insan']",,"['iç mekan', 'yolda', 'cadde', 'turistik yerlerde', 'dış  ekan', 'maket', 'parkta', 'evde', 'ev', 'dağ', 'herhangi bir yerde', 'müze', 'alan', 'orman', 'her yerde', 'boş ortam', 'dışarda', 'fark', 'koridor', 'tarhi yerler', 'şehiri', 'sokak', 'sahil', 'yol', 'sokakta', 'doğada', 'dışarı', 'durak', 'dışarıda', 'bahçe']",,"['dilenci', 'öğrenci', 'seyyah', 'saç', 'canlılar', 'tüm canlılar', 'hayvanlar', 'insanlar', 'canlı', 'işsiz', 'köpek', 'insan', 'insan dışarı çıkar', 'alışan', 'kedi', 'taşıt', 'kız', 'vasıta', 'kadın', 'erkek', 'turist', 'robot', 'ip', 'gök cismi', 'kulaklık', 'gezgin', 'herkes', 'hayvan']",,,
domates,"['yerde yetişen bir meyve', 'bir tğr meyve', 'bir tğr sebze']","['canlıların beslenmesine yarar', 'karın doyurmak', 'yemek yemek']",,"['maket', 'sıra', 'mutfak', 'bostan', 'ağaç', 'buzdolabı', 'bağ', 'pazar', 'orman', 'bahçe', 'manav', 'salata', 'sofra', 'hal', 'dolap', 'tarla', 'sebzelik']",,"['soğan', 'yaprak', 'biber', 'patlıcan']",,"['su', 'hücre', 'vitamin', 'domates suyu', 'domates çekirdeği', 'sağ', 'tane', 'kalori', 'proteini', 'tohum', 'minerali', 'bitki hücresi', 'çekirdek']",,"['su', 'hücre', 'seluloz', 'toprak', 'domates tohumu', 'domates', 'karbonhidrat', 'vitamin', 'sağ', 'selüloz', 'bitki', 'proteini', 'tohum', 'minerali', 'bitki hücresi', 'çekirdek']",,"['meyve', 'sebze', 'yiyecek', 'bitki', 'gıda']",,"['canlılar', 'canlı', 'insan']",,,,"['değil', 'yeşil', 'sarı', 'pembe', 'kırmızı', 'kğrmğzğ']",,['yuvarlak'],,"['cansız', 'canlı']"
domuz,"['hayvan', 'bir tğr hayvan']","['et elde edilebilir', 'pembe', 'yağı', 'etinden faydalanılır', 'besin kaynağı', 'deri elde edilebilir', 'derisi kullanılır', 'avlanabilir', 'doğa dengesinin parçası', 'ekosistem', 'kahve rengi', 'etrafı temizlemek', 'eti', 'et için tüketilir', 'süt üretmek', 'besin kaynağı olmak', 'toprağı eşeleyerek toprağın havalanmasını sağlar', 'yemeğe', 'ekolojik denge', 'doğa dolgusunu saglar', 'ormanın çapalaması', 'beslenme', 'et vermek', 'yemek', 'yenir']",,"['doğa', 'dağ', 'çiftlik', 'dünya', 'orman', 'bağ', 'bahçe', 'bataklık', 'ahır', 'tarla']",,"['hamur', 'dağ', 'hayır']",,"['iskelet', 'su', 'hücre', 'yağ', 'böbrek', 'deri', 'iç organlar', 'kalp', 'kan', 'pislik', 'diş', 'tüy', 'hayvan hücresi', 'kemik', 'organ', 'et', 'organlar', 'ormanlar', 'can']",,"['', 'iskelet', 'su', 'hücre', 'hücreler', 'karbonhidrat', 'yağ', 'deri', 'mineraller', 'iç organlar', 'kalp', 'kan', 'diş', 'tüy', 'kolajen', 'hidrojen', 'hayvan hücresi', 'kemik', 'toprak', 'organ', 'et', 'karbon', 'proteini', 'hayvan', 'can', 'nitrojen']",,"['hayvan', 'memeli']",,['insan'],,,,"['siyah', 'beyaz', 'pembe', 'koyu gri', 'tek rengi', 'boz', 'kahverengi', 'gri']",,"['', 'kuzu', 'şekilsiz', 'yuvarlak', 'bacak kafa şişman memeli hayvan', 'çeşitli', 'dikdörtgen', 'düzensiz', 'hayvan', 'bacak silindir']",,['canlı']
doğmak,"['başlangıç yapmak', 'bir yerde hayata gelmek', 'doğum yoluyla dünyaya gelmek', 'bir canlının dünyaya gelmesi', 'hayat bulmak', 'anne karnından çıkmak', 'ortaya çıkmak', 'varolmak', 'bir canlının hayata başlaması', 'dünyaya gelmek', 'ortaya çıkması', 'var olmak', 'evrene gelmek', 'hayata başlamak', 'meydana gelmek']",,"['hergün', 'uzanarak', 'zuhur ederek', 'anne karnından', 'ışık saçmak', 'dikkatlice', 'kanlı', 'ameliyat', 'doğal', 'doğum', 'annesinin içinden', 'insan', 'saklı olduğu yerden çıkarak', 'ağlayarak', 'karından çıkmak', 'yoğurularak', 'ortaya çıkmak', 'bir sefer', 'nefes almak', 'yumurtadan çıkarak', 'anne doğum yaparak', 'cerrahi bilgiyle', 'üreme']",,"['üremek', 'ışıtmak', 'hayata başlamak', 'doğmak', 'üremek için', 'aydınlatmak', 'çoğalmak', 'doğum', 'yaşamak', 'yeni bir canlı dünyaya getirmek için', 'hayata gelmek', 'var olmak', 'neslin devamı için', 'yaşam devamı', 'doğurmak', 'neslini devam ettirmek', 'dünyaya gelmek', 'yaşamak için', 'çocuğun hayata gelmesi için']",,"['sabah', 'ay dolunca', 'çiftleşmek', 'hamile', 'hamile olunca', 'çiftleşince', 'hamile olmak', 'hamilelik', 'şafak', 'hamile kalınca', 'ay gün sonra', 'sancı', 'hamile kalmak', 'anne karnında olmak', 'ağlamak', 'doğma zamanı gelince', 'gündüz', 'yaşama devam etmek', 'zamanı gelince']",,"['canlı dünyaya gelir', 'aydınlık', 'çocuk sahibi', 'hayata başlamak', 'yeni canlı oluşur', 'yeni bir canlı dünyaya gelir', 'büyümeye başlasın', 'hayatta olmak', 'çoğalmak', 'yaşamak', 'hayata gelmek', 'var olmak', 'insan', 'bebek', 'ocuk', 'bir canlı dünyaya gelmiş olur', 'çocuk gelmek', 'ortaya bir şey çıkar', 'ısınmak', 'büyümek', 'nefes almak', 'dünyaya gelmek', 'yeni bir canlı çıkması', 'çocuk dünyaya gelir', 'gündüz']",,"['bebek', 'ocuk', 'bebeği', 'canlılar', 'hazırlığı yapılır', 'çocuk', 'anadan', 'eylemi']",,"['aydınlık', 'ebe', 'ameliyat', 'bebek', 'doktor', 'ışık', 'vücut ile yapılır', 'doğurgan varlık', 'anne', 'doğum', 'kadın', 'güneş', 'rahim', 'beden', 'yumurta', 'insan']",,"['dünyaya', 'hayat', 'ebe', 'doğa', 'bebek', 'doktor', 'kainat', 'insanlara', 'doktorlar', 'hayvanlara', 'evrene', 'insan', 'anneye', 'hamile']",,"['doğa', 'hastahane', 'evde', 'ev', 'doğumhane', 'herhangi bir yerde', 'gökyüzü', 'ameliyathane', 'doğada', 'herhangi', 'hastanede', 'doğumhanede', 'hastane', 'her yerde']",,"['yaratıcı', 'bebek', 'gökyüzü', 'insanlar', 'canlı', 'canlılar doğar', 'kadın', 'yavru', 'gün', 'tüm canlılar', 'anne', 'canlılar', 'güneş', 'hayvan', 'hayvanlar', 'insan', 'memeli']",,,
